"Service","BuildLog","TrivyLog","Trivy"
"accounting","True","True","PASS"
"ad","True","False","MISSING"
"cart","True","True","PASS"
"checkout","True","True","PASS"
"currency","True","True","PASS"
"email","True","False","MISSING"
"flagd-ui","True","True","FAIL"
"fraud-detection","True","True","PASS"
"frontend","True","True","FAIL"
"frontend-proxy","True","True","PASS"
"image-provider","True","True","PASS"
"kafka","True","True","FAIL"
"llm","True","True","PASS"
"load-generator","True","True","FAIL"
"mem0","True","False","MISSING"
"opensearch","True","True","FAIL"
"payment","True","True","FAIL"
"product-catalog","True","True","PASS"
"product-reviews","True","False","MISSING"
"quote","True","False","MISSING"
"recommendation","True","True","PASS"
"shipping","True","True","PASS"
